{'time': '11:45:14', 'temperature': 37, 'pH': 7.8, 'pump': 'on', 'acid_valve': 'on', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:00:14', 'temperature': 55.49999999999997, 'pH': 6.800000000000015, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:05:14', 'temperature': 55.29999999999997, 'pH': 6.700000000000015, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '16:10:14', 'temperature': 55.099999999999966, 'pH': 6.9000000000000155, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:15:14', 'temperature': 54.89999999999996, 'pH': 6.800000000000016, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:20:14', 'temperature': 55.39999999999996, 'pH': 6.700000000000016, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '16:25:14', 'temperature': 55.19999999999996, 'pH': 6.900000000000016, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:30:14', 'temperature': 54.99999999999996, 'pH': 6.800000000000017, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:35:14', 'temperature': 55.49999999999996, 'pH': 6.700000000000017, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '16:40:14', 'temperature': 55.299999999999955, 'pH': 6.900000000000017, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:45:14', 'temperature': 55.09999999999995, 'pH': 6.800000000000018, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '16:50:14', 'temperature': 54.89999999999995, 'pH': 6.700000000000018, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '16:55:14', 'temperature': 55.39999999999995, 'pH': 6.900000000000018, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:00:14', 'temperature': 55.199999999999946, 'pH': 6.8000000000000185, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:05:14', 'temperature': 54.99999999999994, 'pH': 6.700000000000019, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '17:10:14', 'temperature': 55.49999999999994, 'pH': 6.900000000000019, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:15:14', 'temperature': 55.29999999999994, 'pH': 6.800000000000019, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:20:14', 'temperature': 55.09999999999994, 'pH': 6.70000000000002, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '17:25:14', 'temperature': 54.899999999999935, 'pH': 6.90000000000002, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:30:14', 'temperature': 55.399999999999935, 'pH': 6.80000000000002, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:35:14', 'temperature': 55.19999999999993, 'pH': 6.700000000000021, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '17:40:14', 'temperature': 54.99999999999993, 'pH': 6.900000000000021, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:45:14', 'temperature': 55.49999999999993, 'pH': 6.800000000000021, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '17:50:14', 'temperature': 55.299999999999926, 'pH': 6.7000000000000215, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '17:55:14', 'temperature': 55.09999999999992, 'pH': 6.900000000000022, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:00:14', 'temperature': 54.89999999999992, 'pH': 6.800000000000022, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:05:14', 'temperature': 55.39999999999992, 'pH': 6.700000000000022, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '18:10:14', 'temperature': 55.19999999999992, 'pH': 6.900000000000023, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:15:14', 'temperature': 54.999999999999915, 'pH': 6.800000000000023, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:20:14', 'temperature': 55.499999999999915, 'pH': 6.700000000000023, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '18:25:14', 'temperature': 55.29999999999991, 'pH': 6.9000000000000234, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:30:14', 'temperature': 55.09999999999991, 'pH': 6.800000000000024, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:35:14', 'temperature': 54.899999999999906, 'pH': 6.700000000000024, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '18:40:14', 'temperature': 55.399999999999906, 'pH': 6.900000000000024, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:45:14', 'temperature': 55.1999999999999, 'pH': 6.800000000000025, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '18:50:14', 'temperature': 54.9999999999999, 'pH': 6.700000000000025, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '18:55:14', 'temperature': 55.4999999999999, 'pH': 6.900000000000025, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:00:14', 'temperature': 55.2999999999999, 'pH': 6.800000000000026, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:05:14', 'temperature': 55.099999999999895, 'pH': 6.700000000000026, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '19:10:14', 'temperature': 54.89999999999989, 'pH': 6.900000000000026, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:15:14', 'temperature': 55.39999999999989, 'pH': 6.8000000000000265, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:20:14', 'temperature': 55.19999999999989, 'pH': 6.700000000000027, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '19:25:14', 'temperature': 54.999999999999886, 'pH': 6.900000000000027, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:30:14', 'temperature': 55.499999999999886, 'pH': 6.800000000000027, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:35:14', 'temperature': 55.29999999999988, 'pH': 6.700000000000028, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '19:40:14', 'temperature': 55.09999999999988, 'pH': 6.900000000000028, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:45:14', 'temperature': 54.89999999999988, 'pH': 6.800000000000028, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '19:50:14', 'temperature': 55.39999999999988, 'pH': 6.700000000000029, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '19:55:14', 'temperature': 55.199999999999875, 'pH': 6.900000000000029, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:00:14', 'temperature': 54.99999999999987, 'pH': 6.800000000000029, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:05:14', 'temperature': 55.49999999999987, 'pH': 6.7000000000000295, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '20:10:14', 'temperature': 55.29999999999987, 'pH': 6.90000000000003, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:15:14', 'temperature': 55.099999999999866, 'pH': 6.80000000000003, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:20:14', 'temperature': 54.899999999999864, 'pH': 6.70000000000003, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '20:25:14', 'temperature': 55.399999999999864, 'pH': 6.9000000000000306, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:30:14', 'temperature': 55.19999999999986, 'pH': 6.800000000000031, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:35:14', 'temperature': 54.99999999999986, 'pH': 6.700000000000031, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '20:40:14', 'temperature': 55.49999999999986, 'pH': 6.900000000000031, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:45:14', 'temperature': 55.299999999999855, 'pH': 6.800000000000032, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '20:50:14', 'temperature': 55.09999999999985, 'pH': 6.700000000000032, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '20:55:14', 'temperature': 54.89999999999985, 'pH': 6.900000000000032, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:00:14', 'temperature': 55.39999999999985, 'pH': 6.800000000000033, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:05:14', 'temperature': 55.19999999999985, 'pH': 6.700000000000033, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '21:10:14', 'temperature': 54.999999999999844, 'pH': 6.900000000000033, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:15:14', 'temperature': 55.499999999999844, 'pH': 6.800000000000034, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:20:14', 'temperature': 55.29999999999984, 'pH': 6.700000000000034, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '21:25:14', 'temperature': 55.09999999999984, 'pH': 6.900000000000034, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:30:14', 'temperature': 54.899999999999835, 'pH': 6.8000000000000345, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:35:14', 'temperature': 55.399999999999835, 'pH': 6.700000000000035, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '21:40:14', 'temperature': 55.19999999999983, 'pH': 6.900000000000035, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:45:14', 'temperature': 54.99999999999983, 'pH': 6.800000000000035, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '21:50:14', 'temperature': 55.49999999999983, 'pH': 6.700000000000036, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '21:55:14', 'temperature': 55.29999999999983, 'pH': 6.900000000000036, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:00:14', 'temperature': 55.099999999999824, 'pH': 6.800000000000036, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:05:14', 'temperature': 54.89999999999982, 'pH': 6.700000000000037, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '22:10:14', 'temperature': 55.39999999999982, 'pH': 6.900000000000037, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:15:14', 'temperature': 55.19999999999982, 'pH': 6.800000000000037, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:20:14', 'temperature': 54.999999999999815, 'pH': 6.7000000000000375, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '22:25:14', 'temperature': 55.499999999999815, 'pH': 6.900000000000038, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:30:14', 'temperature': 55.29999999999981, 'pH': 6.800000000000038, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:35:14', 'temperature': 55.09999999999981, 'pH': 6.700000000000038, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '22:40:14', 'temperature': 54.89999999999981, 'pH': 6.9000000000000385, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:45:14', 'temperature': 55.39999999999981, 'pH': 6.800000000000039, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '22:50:14', 'temperature': 55.199999999999804, 'pH': 6.700000000000039, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '22:55:14', 'temperature': 54.9999999999998, 'pH': 6.900000000000039, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:00:14', 'temperature': 55.4999999999998, 'pH': 6.80000000000004, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:05:14', 'temperature': 55.2999999999998, 'pH': 6.70000000000004, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '23:10:14', 'temperature': 55.099999999999795, 'pH': 6.90000000000004, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:15:14', 'temperature': 54.89999999999979, 'pH': 6.800000000000041, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:20:14', 'temperature': 55.39999999999979, 'pH': 6.700000000000041, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '23:25:14', 'temperature': 55.19999999999979, 'pH': 6.900000000000041, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:30:14', 'temperature': 54.99999999999979, 'pH': 6.800000000000042, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:35:14', 'temperature': 55.49999999999979, 'pH': 6.700000000000042, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '23:40:14', 'temperature': 55.299999999999784, 'pH': 6.900000000000042, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '23:45:14', 'temperature': 55.09999999999978, 'pH': 6.8000000000000425, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
^[[B{'time': '23:50:14', 'temperature': 54.89999999999978, 'pH': 6.700000000000043, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '23:55:14', 'temperature': 55.39999999999978, 'pH': 6.900000000000043, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:00:14', 'temperature': 55.199999999999775, 'pH': 6.800000000000043, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:05:14', 'temperature': 54.99999999999977, 'pH': 6.700000000000044, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '00:10:14', 'temperature': 55.49999999999977, 'pH': 6.900000000000044, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:15:14', 'temperature': 55.29999999999977, 'pH': 6.800000000000044, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:20:14', 'temperature': 55.09999999999977, 'pH': 6.700000000000045, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '00:25:14', 'temperature': 54.899999999999764, 'pH': 6.900000000000045, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:30:14', 'temperature': 55.399999999999764, 'pH': 6.800000000000045, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:35:14', 'temperature': 55.19999999999976, 'pH': 6.7000000000000455, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '00:40:14', 'temperature': 54.99999999999976, 'pH': 6.900000000000046, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:45:14', 'temperature': 55.49999999999976, 'pH': 6.800000000000046, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '00:50:14', 'temperature': 55.299999999999756, 'pH': 6.700000000000046, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '00:55:14', 'temperature': 55.09999999999975, 'pH': 6.9000000000000465, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:00:14', 'temperature': 54.89999999999975, 'pH': 6.800000000000047, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:05:14', 'temperature': 55.39999999999975, 'pH': 6.700000000000047, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '01:10:14', 'temperature': 55.19999999999975, 'pH': 6.900000000000047, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:15:14', 'temperature': 54.999999999999744, 'pH': 6.800000000000048, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:20:14', 'temperature': 55.499999999999744, 'pH': 6.700000000000048, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
{'time': '01:25:14', 'temperature': 55.29999999999974, 'pH': 6.900000000000048, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:30:14', 'temperature': 55.09999999999974, 'pH': 6.800000000000049, 'pump': 'off', 'acid_valve': 'off', 'base_valve': 'off', 'agitator': 'on'}
{'time': '01:35:14', 'temperature': 54.899999999999736, 'pH': 6.700000000000049, 'pump': 'on', 'acid_valve': 'off', 'base_valve': 'on', 'agitator': 'on'}
